ticker,event_date,surprise_direction,initial_surprise,entry_price,exit_price,exit_date,days_held,strategy_return,stop_triggered,max_gain,volume_trend,price_trend,institutional_score,year_month
AAPL,2023-05-05 04:00:00+00:00,1.0,0.03130445827500848,169.05122033812108,183.1759796142578,2023-06-20 04:00:00+00:00,30,0.08355313406129605,False,0.0894099213942602,1.0167764173290676,0.06781492639805448,0.06895261790444825,2023-05
AAPL,2023-09-07 04:00:00+00:00,-1.0,-0.04226127193597833,173.67765269377628,176.6519012451172,2023-09-08 04:00:00+00:00,1,-0.017125107952633497,True,0.0,0.9664048689627758,-0.015265275921976384,0.014752436977058204,2023-09
AAPL,2024-02-02 05:00:00+00:00,-1.0,-0.03746113741529298,178.55244241438749,186.3155670166016,2024-02-05 05:00:00+00:00,1,-0.04347812047396874,True,0.0,1.0760665383836783,-0.07320060633672504,0.07876872306834605,2024-02
AAPL,2024-05-03 04:00:00+00:00,1.0,0.07871454421125725,185.52950301417596,180.61917114257807,2024-05-06 04:00:00+00:00,1,-0.02646658235926337,True,0.0,1.0793319802297625,0.19401180597408615,0.20940314672996288,2024-05
AAPL,2024-08-05 04:00:00+00:00,-1.0,-0.09446927042537497,198.16323265092015,206.26536560058597,2024-08-06 04:00:00+00:00,1,-0.04088615653509422,True,0.0,0.9144410856983816,0.04734318221883165,0.04329255094860473,2024-08
AMZN,2023-02-02 05:00:00+00:00,1.0,0.048502124584999765,110.25,103.38999938964844,2023-02-03 05:00:00+00:00,1,-0.06222222775829082,True,0.0,0.9254993601120726,-0.042944215761846455,0.039744844208103675,2023-02
AMZN,2023-02-03 05:00:00+00:00,-1.0,-0.06775308898910344,105.26000213623048,97.70999908447266,2023-03-20 04:00:00+00:00,30,0.07172717935143492,False,0.13803912677573152,0.903697289401324,-0.043746341821812494,0.03953345052559573,2023-02
AMZN,2023-04-27 04:00:00+00:00,1.0,0.030291486030570337,108.16000366210938,105.4499969482422,2023-04-28 04:00:00+00:00,1,-0.02505553459792035,True,0.0,0.9820741307091472,0.1705073862236209,0.16745089310505132,2023-04
AMZN,2023-08-04 04:00:00+00:00,1.0,0.09425175355925952,141.05999755859375,139.97999572753906,2023-09-18 04:00:00+00:00,30,-0.007656329574272638,False,0.02686806047439193,0.9341078022083712,-0.015750284586820706,0.014712463719551474,2023-08
AMZN,2023-10-27 04:00:00+00:00,1.0,0.055448668314289316,126.1999969482422,145.88999938964844,2023-12-11 05:00:00+00:00,30,0.1560222101232031,False,0.17060221315319726,0.9094020347648416,0.09931423411196347,0.09031656658253141,2023-10
AMZN,2024-02-02 05:00:00+00:00,1.0,0.062217502122416335,169.19000244140625,174.47999572753906,2024-03-18 04:00:00+00:00,30,0.03126658318930422,False,0.05650450629850048,0.8983114362051015,0.024484752678777175,0.02199493334399903,2024-02
AMZN,2024-05-01 04:00:00+00:00,1.0,0.03794285365513393,181.63999938964844,183.8300018310547,2024-06-13 04:00:00+00:00,30,0.01205682916078592,False,0.043272410464451364,0.8633878312499899,-0.004818099738885709,0.004159888684302675,2024-05
AMZN,2024-08-02 04:00:00+00:00,-1.0,-0.09409467395582537,166.75,187.0,2024-09-12 04:00:00+00:00,39,-0.12143928035982009,True,0.03436279296875,0.8691124211562432,0.1482424200958114,0.12883932864753156,2024-08
AMZN,2024-08-05 04:00:00+00:00,-1.0,-0.08153655557043972,154.2100067138672,161.92999267578125,2024-08-06 04:00:00+00:00,1,-0.05006151109401288,True,0.0,0.838982298390689,0.1540790053451466,0.12926955803822235,2024-08
AMZN,2024-11-01 04:00:00+00:00,1.0,0.06759660148118299,199.0,195.77999877929688,2024-11-04 05:00:00+00:00,1,-0.016180910656799625,True,0.0,0.9732101826982231,0.18975377529940443,0.18467030632681097,2024-11
GOOGL,2023-02-02 05:00:00+00:00,1.0,0.05347018329049238,105.1692725625738,104.15534210205078,2023-02-03 05:00:00+00:00,1,-0.009640938230505908,True,0.0,1.0451771601822546,-0.03015840564893444,0.03152087677177776,2023-02
GOOGL,2023-02-03 05:00:00+00:00,-1.0,-0.04464455681953816,102.31637258300908,100.61656188964844,2023-03-20 04:00:00+00:00,30,0.016613281437255736,False,0.13407179539501274,1.017033756248643,-0.016326662740331534,0.01660476713380414,2023-02
GOOGL,2023-02-08 05:00:00+00:00,-1.0,-0.05193234122647266,101.44162648913434,104.29450988769533,2023-03-21 04:00:00+00:00,40,-0.02812339960722702,True,0.12660476888163835,0.9804742275193267,0.11146191385186595,0.10928553388173401,2023-02
GOOGL,2023-05-11 04:00:00+00:00,1.0,0.03266223130611733,114.7120303237843,117.63450622558594,2023-06-26 04:00:00+00:00,30,0.02547662955273915,False,0.10320628675840395,0.9362451784854324,0.007063149678814143,0.006612839831710672,2023-05
GOOGL,2023-07-26 04:00:00+00:00,1.0,0.06431550420101077,129.29457759875808,128.62857055664062,2023-07-27 04:00:00+00:00,1,-0.005151082547206944,True,0.0,0.865645668624008,0.045285879786974834,0.03920152568742228,2023-07
GOOGL,2023-10-25 04:00:00+00:00,-1.0,-0.07672340409251516,127.39596893998612,136.11367797851562,2023-12-07 05:00:00+00:00,30,-0.06843002263781406,False,0.04673855334761038,0.9760425355790279,0.11980697887607487,0.11693670744226715,2023-10
GOOGL,2023-12-07 05:00:00+00:00,1.0,0.03860944535799934,134.23494591057988,134.18524169921875,2023-12-08 05:00:00+00:00,1,-0.00037027773225492067,True,0.0,0.9492481986652854,0.08926577366020602,0.08473537484941365,2023-12
