ticker,date,open,high,low,close,volume
AAPL,2023-01-03 00:00:00-05:00,128.61397753423014,129.2260441509053,122.5821116407929,123.4706039428711,112117500
AAPL,2023-01-04 00:00:00-05:00,125.26733892869382,127.01470850998557,123.48048749262259,124.7441177368164,89113600
AAPL,2023-01-05 00:00:00-05:00,125.50426745503849,126.13608257581905,123.16457967496471,123.42124938964844,80962700
AAPL,2023-01-06 00:00:00-05:00,124.39858171183529,128.62384018148796,123.29290160052527,127.96240997314453,87754700
AAPL,2023-01-09 00:00:00-05:00,128.80157186038267,131.70397802412538,128.22898699932045,128.48565673828125,70790800
AAPL,2023-01-10 00:00:00-05:00,128.59426707667564,129.58147936363704,126.48163338512475,129.05825805664062,63896200
AAPL,2023-01-11 00:00:00-05:00,129.57161328681664,131.8027076431601,128.7917222043787,131.78297424316406,69458900
AAPL,2023-01-12 00:00:00-05:00,132.16795510561155,132.5430854442494,129.75915527463124,131.70396423339844,71379600
AAPL,2023-01-13 00:00:00-05:00,130.34161256817276,133.19465493922883,129.97634891095512,133.0366973876953,57809700
AAPL,2023-01-17 00:00:00-05:00,133.1058234879157,135.53435707802646,132.41477795673228,134.20162963867188,63646600
AAPL,2023-01-18 00:00:00-05:00,135.0703537024429,136.83745656269951,133.30323577852656,133.48094177246094,69672800
AAPL,2023-01-19 00:00:00-05:00,132.36540678256628,134.50765533885576,132.0593734264766,133.54019165039062,58280400
AAPL,2023-01-20 00:00:00-05:00,133.55004278165805,136.25500917828725,132.5036004355903,136.10691833496094,80223600
AAPL,2023-01-23 00:00:00-05:00,136.3537266947968,141.4872415250396,136.136538833656,139.3054962158203,81760300
AAPL,2023-01-24 00:00:00-05:00,138.5157093840139,141.32926952973608,138.50584268721101,140.7073211669922,66435100
AAPL,2023-01-25 00:00:00-05:00,139.0883015683729,140.60860145852004,137.03489874919626,140.0458984375,65799300
AAPL,2023-01-26 00:00:00-05:00,141.3391279655153,142.4053186406196,140.08536461650493,142.11903381347656,54105100
AAPL,2023-01-27 00:00:00-05:00,141.32927632528882,145.34722141150488,141.25029755609052,144.0638427734375,70555800
